Store,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Week,Last_Week_Sales,Rolling_4W_Avg,Actual_Sales,Predicted_Sales,Date
6,0,53.95,3.29,221.6769199,6.132,1,4,1326255.7,1415979.7750000001,1315610.66,1338562.2162000004,2012-01-27
45,0,30.54,3.109,182.5519538,8.724,12,49,879244.9,887845.46,1002364.34,999837.8669666669,2010-12-10
32,0,50.15,3.491,195.0261012,8.513,10,41,1149448.02,1124257.885,1175420.26,1153690.974366667,2011-10-14
31,0,67.87,2.808,210.1495463,8.2,4,15,1395710.09,1328801.8699999999,1367448.28,1339231.2819999997,2010-04-16
42,0,90.32,3.084,126.1266,9.524,6,25,529418.64,544195.0974999999,484327.56,510407.11179999996,2010-06-25
24,0,77.18,3.646,138.2296333,8.953,7,27,1428869.9,1408584.66,1645097.75,1466422.3733666663,2012-07-06
42,0,57.29,3.701,129.8459667,7.874,12,48,577698.37,596541.185,511883.36,602611.9941500002,2011-12-02
21,0,59.8,3.297,217.6455387,7.441,11,45,767358.37,726646.4675,757369.87,742535.5336166669,2011-11-11
10,0,89.92,4.014,130.7929,7.382,6,25,1811562.88,1812616.2175,1755334.18,1762053.7504333328,2012-06-22
41,0,50.56,3.795,192.8365651,6.934,5,21,1244542.33,1234591.5074999998,1278304.33,1266037.5380333336,2011-05-27
40,0,50.98,4.018,138.7395,4.156,9,39,899768.4,969247.8225,919595.44,929776.9237666667,2012-09-28
26,0,47.11,3.947,138.0882667,7.489,5,19,946573.29,917953.15,1062548.73,947501.1628833334,2012-05-11
16,0,20.8,3.008,191.667891,6.614,1,4,462888.13,520529.265,448391.99,475002.7836916668,2011-01-28
35,0,70.31,2.755,136.557015,8.861,8,34,1033719.5,1110905.5425,917693.06,1078769.451133334,2010-08-27
7,0,60.46,3.556,198.0967341,7.872,8,35,609099.37,652107.7200000001,586467.16,619410.1288500002,2012-08-31
22,0,32.56,3.193,136.7332569,8.458,1,1,774262.28,1407898.2875,873954.7,912216.3940666663,2011-01-07
6,0,59.9,2.689,213.4785503,7.007,11,44,1385323.7,1355734.7625,1505442.15,1414344.455633333,2010-11-05
33,0,60.43,3.236,126.9835806,9.265,12,51,238875.26,235489.04499999998,249246.8,263620.94459166686,2010-12-24
33,0,78.24,4.202,129.089,8.687,5,19,257031.19,257486.47749999998,279466.87,250494.69197500005,2011-05-13
30,0,69.02,3.891,221.0737638,6.891,4,14,449603.91,435015.555,461511.92,448760.14596666687,2012-04-06
9,0,80.42,3.786,219.1203788,6.38,5,21,518266.9,533717.55,553834.04,520033.6058083334,2011-05-27
2,0,69.39,3.807,215.1096657,7.931,4,16,1856467.84,1817588.465,1886339.6,1852857.883966667,2011-04-22
11,0,83.44,3.227,225.3916254,6.334,7,27,1297028.6,1371231.9625,1461129.94,1349518.248233333,2012-07-06
15,0,54.47,4.17,137.9230667,8.15,4,16,558585.13,585391.155,534780.57,580663.7119833333,2012-04-20
35,0,78.14,3.842,139.9896486,8.684,8,31,770820.27,808143.01,826820.71,801662.73485,2011-08-05
25,0,38.69,3.415,211.8667856,7.082,12,49,878314.57,860571.6575,916446.02,933566.2486500003,2011-12-09
16,0,19.55,3.077,196.7330517,6.162,1,2,564538.07,715143.2474999999,508520.09,513863.0100333336,2012-01-13
6,0,52.24,2.869,212.918049,7.007,12,50,1834737.58,1824524.6675,2090268.95,2180455.555566668,2010-12-17
10,0,67.75,4.111,131.1173333,7.382,4,16,1974687.51,1947822.4474999998,1777166.53,1955815.4181999995,2012-04-20
37,0,56.28,3.261,218.5823389,7.244,1,2,558343.57,537342.0775,546221.4,542932.7235166666,2012-01-13
20,0,55.43,2.899,203.7307486,7.856,4,15,2007796.26,2064945.715,1985784.59,1925789.771966667,2010-04-16
16,0,53.76,2.7,189.422658,6.842,6,22,479430.0,429929.6575,516295.81,504333.2559333334,2010-06-04
38,0,68.4,4.193,129.0444333,13.736,5,18,344225.99,365522.3925,422186.65,397568.1859333335,2011-05-06
19,0,22.8,3.391,133.0285161,7.771,1,3,1181204.53,1589683.47,1212967.84,1205245.5582999997,2011-01-21
24,1,68.32,3.93,136.2745806,8.358,9,36,1196105.44,1338333.855,1527455.19,1280926.0277666664,2011-09-09
29,0,40.58,3.633,137.0632581,8.988,2,5,395987.24,439345.1925,493159.35,449140.03703333327,2012-02-03
3,0,82.28,3.256,225.4340074,6.334,7,28,411206.5,423936.1425,416913.1,414507.0290916667,2012-07-13
31,0,83.03,2.582,211.1806415,8.099,9,37,1308179.02,1328354.9224999999,1294105.01,1313536.7074666673,2010-09-17
42,0,77.02,4.058,131.136,7.382,5,18,526625.49,592647.57,609274.89,545867.7296500003,2012-05-04
23,0,50.75,2.776,132.7516667,5.287,10,40,1129909.44,1165235.13,1179851.68,1219274.7021666663,2010-10-08
26,0,62.08,3.874,138.2814516,7.405,8,34,1068292.56,1078107.3250000002,1022704.2,1075121.7501666672,2012-08-24
39,1,47.6,3.129,218.2302364,7.716,12,52,2554482.84,1990182.56,1537139.56,1383043.4521333335,2011-12-30
24,0,49.26,4.163,137.9781333,8.983,4,17,1208654.4,1312319.6725,1194334.65,1290055.8690333334,2012-04-27
16,0,65.36,3.545,193.5120367,6.338,7,29,586841.77,599829.755,581758.22,579961.3025333334,2011-07-22
14,0,71.36,2.755,182.6104063,8.743,8,34,2057138.31,2096194.975,2020332.07,2142053.612466667,2010-08-27
8,0,61.74,3.274,220.7960935,6.123,10,41,929976.55,854110.5075,863188.26,894053.0925166667,2011-10-14
22,0,44.42,2.961,136.8349032,8.572,11,45,1006888.16,987013.6025,1043698.64,1030104.2319166659,2010-11-12
30,0,79.24,3.501,221.3852748,6.891,6,22,449355.91,450212.26,427021.18,434996.08073333325,2012-06-01
23,1,66.74,3.921,138.4729355,4.156,9,36,1577468.78,1556533.2374999998,1427162.26,1588351.3788333335,2012-09-07
43,0,33.21,2.989,204.5264194,10.398,2,5,562558.27,597574.9349999999,651521.77,636450.9769,2011-02-04
8,0,56.68,3.488,217.7705442,6.262,3,11,900387.29,954519.8775000001,898289.14,896960.2124500005,2011-03-18
43,0,44.98,3.01,204.1789677,10.398,1,4,601004.79,590620.4425,562558.27,593623.8677166668,2011-01-28
42,0,56.96,3.674,128.26475,8.744,3,9,526904.08,574584.805,570879.04,542793.8693500003,2011-03-04
3,0,88.07,3.682,218.8440545,7.567,7,30,360617.37,374545.165,345381.29,368932.84059166646,2011-07-29
37,0,53.57,3.172,217.4229206,7.716,12,48,522554.04,526810.8775,527117.81,518714.5545750002,2011-12-02
29,0,75.81,3.561,138.263,9.419,7,28,578832.41,567244.9500000001,514709.76,548303.7258499998,2012-07-13
29,0,44.96,2.826,131.9019677,10.16,4,13,552985.34,525991.835,599629.25,553535.3902833335,2010-04-02
12,0,67.41,3.727,129.7936774,12.89,10,43,938604.58,920962.6749999999,990926.38,951522.266666667,2011-10-28
8,0,45.56,3.36,223.7079023,5.825,2,5,778178.53,820477.085,927610.69,871700.9437166668,2012-02-03
26,0,40.29,3.991,138.0332,7.489,5,18,911969.0,960517.135,946573.29,974914.4510166671,2012-05-04
1,0,79.94,3.526,216.0410526,7.962,9,37,1540471.24,1521538.8375,1514259.78,1450001.0493000003,2011-09-16
18,0,43.17,2.961,132.9783226,9.331,11,45,1089530.94,1052461.5025,1081322.12,1066934.283966667,2010-11-12
39,0,84.93,3.524,213.9324122,8.177,7,26,1363167.95,1449599.5725,1429829.36,1433129.922233333,2011-07-01
12,0,87.27,3.084,126.1266,14.099,6,25,956211.2,994264.8575000002,958007.69,975867.5132333337,2010-06-25
41,0,25.59,3.173,196.1713893,6.759,12,51,1682368.32,1607544.8375,2263722.68,2128749.0095333336,2011-12-23
9,0,70.49,3.907,219.3622809,6.38,5,20,539126.0,541526.3525,518266.9,545972.0145,2011-05-20
12,0,77.27,4.186,131.1453333,11.627,5,19,1073433.69,1041996.0549999999,1041995.22,1012348.7150499998,2012-05-11
9,0,67.36,2.72,215.3589917,6.56,10,41,505069.21,479278.8025,454769.68,497634.702975,2010-10-15
9,0,80.71,3.638,226.0734135,5.277,8,35,572887.78,545160.565,576879.15,554399.1976000001,2012-08-31
25,0,34.6,3.513,212.7386486,6.961,1,2,636419.12,902029.9824999999,614764.31,630256.0273166669,2012-01-13
1,0,74.97,3.717,222.5820193,6.908,9,37,1661767.33,1583960.29,1517428.87,1586135.536366667,2012-09-14
25,0,28.5,3.638,207.8823043,7.287,4,13,616324.24,615114.6125,618377.79,605977.818016667,2011-04-01
11,1,70.03,3.236,221.9011185,7.197,11,47,1315091.63,1362529.2,1848953.48,1844004.591666666,2011-11-25
3,0,59.33,3.36,223.6591137,6.833,2,5,349518.1,370238.385,424960.66,399472.9652166667,2012-02-03
17,0,51.04,3.778,129.0623548,6.774,5,21,844443.35,851045.0675,892056.64,857003.2901166668,2011-05-27
43,0,65.01,3.743,207.1015429,10.581,4,15,650418.75,620791.11,635758.03,615703.5428833335,2011-04-15
28,0,99.22,3.112,126.1283548,14.18,7,29,1225336.41,1299153.875,1205884.98,1245358.1738,2010-07-23
44,0,65.71,2.868,126.1019355,7.804,9,35,293155.08,291432.04000000004,295880.12,287637.8181500001,2010-09-03
10,0,56.85,3.543,130.3496774,7.545,2,5,1632406.0,1675733.3625,1867403.01,1778182.3765333332,2012-02-03
40,0,33.6,3.065,132.7566667,5.287,12,48,1166142.85,980586.94,1000582.06,1017174.8157166664,2010-12-03
12,0,88.1,3.692,129.1338387,13.503,7,28,943717.38,972374.6,936001.98,942677.7888,2011-07-15
37,0,82.29,2.577,210.2966631,8.36,9,35,512157.25,499870.105,510427.53,501123.9701666666,2010-09-03
2,0,82.74,2.669,210.8803726,8.099,7,26,1939927.09,2017410.685,2003940.64,1957606.4189000004,2010-07-02
5,0,83.66,2.608,211.7915565,6.496,7,29,280701.7,293440.28500000003,274742.63,294998.2438500001,2010-07-23
32,0,74.97,2.723,190.2611552,9.017,8,32,1144552.09,1109912.25,1157975.68,1139609.7880000002,2010-08-13
28,0,85.94,4.144,130.8295333,11.627,6,24,1440687.69,1262673.375,1229760.97,1260139.7555333336,2012-06-15
8,0,76.02,2.64,214.7418728,6.315,7,30,785515.88,832942.4924999999,787295.09,823290.7596999997,2010-07-30
16,0,45.85,2.762,190.9070184,6.986,10,42,452169.28,467592.835,541216.92,461787.8076916668,2010-10-22
23,0,69.83,2.81,132.4976,5.435,6,25,1507708.93,1508183.7650000001,1415204.88,1438678.0050999995,2010-06-25
26,0,66.93,2.735,132.7248387,8.445,9,35,977322.52,1030493.985,1037549.71,994390.3593000001,2010-09-03
14,0,58.61,2.868,182.8106203,8.724,10,41,2091663.2,1945199.46,1932162.63,1987612.365733333,2010-10-15
30,1,56.43,3.236,218.1130269,7.441,11,47,436462.63,426165.045,452163.93,454709.8944916667,2011-11-25
42,0,63.66,3.086,126.6034839,9.524,4,13,478021.68,535317.9550000001,505907.41,550577.1414166667,2010-04-02
24,0,42.3,3.627,136.5030667,8.454,12,49,1335647.1,1454874.2625000002,1529615.54,1532380.1987000005,2011-12-09
34,0,42.74,3.619,130.6457931,9.653,3,9,950154.24,1015156.4950000001,990263.7,975975.3126333336,2012-03-02
14,0,62.28,4.062,185.9661154,8.521,5,20,2004330.3,2071752.315,1959967.8,2018658.334466667,2011-05-20
26,0,36.53,2.826,131.9019677,8.512,4,13,893613.0,941507.805,1029849.2,966976.3902666667,2010-04-02
29,0,41.72,3.876,137.5066897,8.988,3,10,500801.72,523757.8275,504750.35,512076.5482499999,2012-03-09
13,0,41.28,3.346,128.3995,7.47,3,10,1894960.68,1918703.53,1852432.58,1876642.1229666672,2011-03-11
11,0,82.41,3.311,225.4438827,6.334,7,29,1320239.51,1358519.5875,1344483.81,1315589.0220000008,2012-07-20
5,1,49.79,2.943,211.9567142,6.768,12,52,466010.25,382778.4625,298180.18,395921.38781666674,2010-12-31
31,0,90.11,3.554,215.3229307,7.852,8,33,1443311.49,1395592.9425,1487542.53,1451654.3697666666,2011-08-19
22,0,75.85,2.735,136.5891118,8.433,9,35,1081420.96,1025472.4924999999,1074535.88,1008963.5677333332,2010-09-03
37,0,85.63,3.575,214.1083654,8.177,7,28,489059.93,510122.4525,498749.62,501129.9737000001,2011-07-15
20,0,68.27,3.834,214.9567044,7.28,8,34,2045061.22,2048845.355,2005341.43,2033791.7665333333,2012-08-24
2,0,85.69,3.524,214.8368678,7.852,7,26,1790925.8,1901901.79,1866243.0,1815954.3207,2011-07-01
1,0,59.11,3.297,217.9980849,7.866,11,45,1697229.58,1534641.845,1594938.89,1564806.8885333329,2011-11-11
17,0,64.79,3.606,129.2015806,6.745,8,32,866184.92,882462.9475,800819.79,883506.0396833337,2011-08-12
3,0,81.75,2.642,214.4265704,7.346,7,27,381151.72,364398.035,349214.18,361524.88936666655,2010-07-09
36,0,82.15,3.407,220.4494148,6.989,6,24,338273.38,318794.5525,333146.88,314434.4581500002,2012-06-15
36,0,81.52,3.328,215.4532259,8.177,9,39,322405.13,342187.54500000004,314910.37,340797.8440166665,2011-09-30
22,0,73.21,2.796,136.5249182,8.433,8,33,993097.43,987080.1024999999,1017045.44,1009096.5852833336,2010-08-20
19,0,40.18,3.627,136.5030667,7.866,12,49,1484708.38,1593317.4149999998,1713769.06,1700388.3180000004,2011-12-09
13,0,34.23,3.23,128.26475,7.47,3,9,1831933.95,1907010.0050000001,1894960.68,1868023.4670333336,2011-03-04
21,0,80.94,2.759,210.5552301,8.2,5,21,753361.72,725605.9275,755214.26,733959.5886333338,2010-05-28
44,0,24.76,3.186,129.9845484,6.078,12,51,311144.16,302220.855,376233.89,339023.4025583332,2011-12-23
13,0,68.4,3.776,130.8896774,5.965,6,23,2035431.39,2072861.38,2182437.9,2050856.5335666656,2012-06-08
20,0,47.09,3.72,208.1092642,7.287,4,14,1927993.09,1918826.4274999998,2027056.39,2055625.5173,2011-04-08
43,0,71.34,3.81,207.4148429,10.581,4,17,638280.67,634010.7475,611464.21,622665.5690666669,2011-04-29
21,0,56.36,3.524,214.4886908,7.931,4,13,753711.32,776759.485,732056.37,758039.0761000002,2011-04-01
39,0,80.99,2.64,210.1286794,8.36,7,30,1314651.83,1334371.17,1308222.24,1319008.5249000005,2010-07-30
6,0,85.51,3.594,216.6314502,6.855,6,25,1622150.33,1612569.845,1543365.9,1603646.3623000002,2011-06-24
41,0,59.81,3.765,198.358523,6.432,9,38,1306644.25,1380942.1099999999,1276609.36,1352735.7542333328,2012-09-21
23,0,71.13,3.61,138.2331935,4.156,7,29,1384921.63,1476029.1300000001,1381339.23,1376573.8022000003,2012-07-20
6,0,70.35,3.622,216.6244334,6.855,4,14,1459276.77,1519403.8599999999,1534594.0,1512621.4922333339,2011-04-08
39,0,52.75,3.51,219.1148297,7.244,2,7,1442988.44,1388570.3074999999,1511041.69,1502620.4864666676,2012-02-17
10,0,56.75,3.336,127.4404839,8.744,1,3,1710803.59,2220367.33,1677556.18,1701195.1749333336,2011-01-21
14,0,66.18,3.962,185.8029526,8.521,4,17,2256461.39,2034582.92,1930617.64,1934075.5335666663,2011-04-29
27,0,58.99,4.071,142.7624113,8.0,10,43,1620374.24,1603240.01,1703047.74,1645716.2283333333,2012-10-26
35,0,50.81,3.0,136.7715714,8.763,11,46,870914.69,850043.24,846850.35,866629.4173333335,2010-11-19
3,0,72.38,3.63,225.2512024,6.664,5,20,431985.36,425334.2925,418112.76,442809.15623333317,2012-05-18
6,0,74.95,2.854,211.8421769,7.092,5,19,1619920.04,1544570.6375,1524059.4,1574515.417533333,2010-05-14
3,0,50.74,3.016,215.1268275,7.551,1,3,381061.1,436992.6525,350876.7,399468.289625,2011-01-21
24,0,51.31,3.112,132.152129,8.211,5,19,1409705.03,1300491.4875,1346783.35,1301776.1344333328,2010-05-14
17,0,22.16,2.96,127.5800323,6.866,1,4,755804.37,808312.105,736335.69,783789.473433333,2011-01-28
12,0,83.26,3.877,129.6060667,13.503,9,39,871692.74,933971.2475,866401.45,920488.3769166667,2011-09-30
31,0,88.05,3.286,221.4813343,6.891,6,26,1394065.76,1418217.8175,1349202.25,1382917.2187333335,2012-06-29
35,0,36.96,3.567,140.9124021,8.744,1,4,669850.04,717835.9475,588722.99,626266.2143666666,2012-01-27
40,0,63.45,3.684,136.4195,4.584,9,39,876583.98,936484.005,912857.1,931481.4817666669,2011-09-30
7,0,27.41,3.055,196.7796652,8.256,1,3,593875.46,795655.9775,578002.85,591580.7805333333,2012-01-20
27,0,75.22,3.819,142.1916279,8.239,8,31,1625883.71,1793727.9549999998,1705810.84,1732255.491733334,2012-08-03
41,0,72.19,3.554,193.9110133,6.901,8,31,1248330.1,1281449.0775000001,1402233.69,1360750.9445000002,2011-08-05
9,0,68.04,3.877,225.3117488,5.539,4,16,578539.86,595550.635,542819.03,580084.3957666667,2012-04-20
27,0,38.07,2.919,135.5732602,8.237,3,9,1390934.27,1738914.2775,1313729.72,1445254.0098000006,2010-03-05
10,0,48.36,3.541,129.9845484,7.874,12,51,2555031.18,2500659.475,3487986.89,3403685.447933331,2011-12-23
28,1,88.0,3.913,129.3686129,13.503,9,36,1468871.49,1263533.92,1310087.0,1278680.8554000002,2011-09-09
17,0,73.29,3.509,130.7561613,5.936,8,32,877813.33,922687.8275,849074.04,910471.167316667,2012-08-10
6,0,87.0,3.524,216.7257388,6.925,7,26,1543365.9,1617416.5425,1694551.15,1579040.3598000004,2011-07-01
29,0,39.42,3.065,132.7566667,10.524,12,48,975268.91,632224.2825,642678.53,610708.4174499998,2010-12-03
20,0,55.0,3.821,208.3172811,7.287,4,15,2027056.39,1927857.3325,2057406.33,1962837.7065333338,2011-04-15
4,0,34.61,2.996,127.7195806,6.51,2,5,1814240.85,1857153.38,2119086.04,1984884.3536333335,2011-02-04
16,0,62.07,3.545,198.1001057,6.061,8,33,554036.84,560668.24,521896.6,549194.7108,2012-08-17
6,0,78.47,3.561,223.3525662,5.964,5,21,1513635.64,1507598.3824999998,1603793.42,1520737.6594333332,2012-05-25
27,0,54.95,3.01,135.82725,8.058,4,15,1955814.13,1886777.4775,1857500.96,1923719.2256666666,2010-04-16
4,0,78.11,3.433,130.8896774,4.308,6,23,2179360.94,2167093.6475,2245257.18,2168975.2403000006,2012-06-08
24,0,38.61,3.796,137.0632581,8.659,2,5,1057290.41,1154115.0875,1249696.97,1255283.9877666663,2012-02-03
9,0,65.46,3.353,221.1498206,6.054,10,42,529515.66,524665.865,557075.21,538542.6470000001,2011-10-21
14,0,43.92,3.551,187.9703629,8.523,11,44,2056846.12,2008879.555,2174056.71,2101074.347666667,2011-11-04
19,0,68.18,3.915,138.1138065,8.15,6,22,1485540.28,1425089.51,1450733.29,1488470.9625333338,2012-06-01
18,0,26.15,3.281,133.4921429,9.131,2,8,1095058.57,1030623.56,1005983.31,1034769.8618166668,2011-02-25
26,0,63.69,3.884,138.3771935,7.405,8,35,1022704.2,1075847.09,1053495.51,1060743.3972333337,2012-08-31
14,0,66.3,3.848,190.9964479,8.567,5,20,1987531.05,1899150.4324999999,1932233.17,1943711.230800001,2012-05-18
21,0,91.05,3.575,215.0134426,7.852,7,28,734099.4,778314.4825,728311.15,774658.2283500006,2011-07-15
2,0,55.21,3.36,219.8118854,7.057,2,5,1660906.14,1729230.2175,1935299.94,1827243.8497666665,2012-02-03
4,0,81.53,2.635,126.114,7.896,6,24,1870619.23,1883799.0274999999,1929736.35,1872049.3761000007,2010-06-18
29,0,57.71,4.095,134.593,9.966,5,19,534372.53,533737.4575,549551.02,532018.8649333336,2011-05-13
26,0,46.95,3.917,138.7281613,7.138,10,43,975578.02,1020112.085,958619.8,1007433.4817166667,2012-10-26
33,0,93.21,3.666,130.7196333,7.147,7,27,244338.31,270632.9175,273690.37,260391.77281666666,2012-07-06
15,1,67.59,3.93,136.2745806,7.806,9,36,649159.68,611224.55,607593.51,701838.5069000004,2011-09-09
23,0,52.9,3.947,138.0882667,4.125,5,19,1317379.68,1278697.5975,1321914.34,1365617.9069999997,2012-05-11
16,0,29.56,3.505,195.6376941,6.232,11,45,511059.95,518830.845,513181.31,505416.23849166697,2011-11-11
32,0,25.97,3.173,196.1713893,8.513,12,51,1556017.91,1459001.8399999999,1959526.96,1891180.0827333329,2011-12-23
23,0,50.07,4.078,134.5143667,4.781,5,18,1173307.4,1283297.7825,1359921.13,1329677.679933333,2011-05-06
36,1,48.26,3.132,218.2302364,7.716,12,52,325262.46,318103.815,287425.22,310209.55465000006,2011-12-30
42,1,55.33,3.162,126.6692667,9.003,11,47,524316.21,538816.7175,522296.71,594969.709183333,2010-11-26
40,0,65.25,3.815,135.4468,4.584,7,26,977103.64,1002137.5225000001,1048866.3,1029663.4350333335,2011-07-01
18,1,24.3,3.255,133.260871,9.131,2,6,1055841.24,893426.48,1122053.58,1075479.1813999994,2011-02-11
33,0,79.46,3.917,128.9553,8.687,4,16,275749.56,254631.865,248603.3,251893.01265416667,2011-04-22
39,0,60.65,3.29,218.7687195,7.244,1,4,1394841.03,1444910.9725000001,1320301.61,1327993.0617333334,2012-01-27
2,0,46.66,3.112,218.9995495,7.441,12,51,2432736.52,2323110.035,3224369.8,2831368.4636666654,2011-12-23
25,1,25.89,3.179,204.6432267,7.484,12,52,1295391.19,1048350.23,623092.54,706463.5433499999,2010-12-31
12,0,68.85,3.014,126.3815484,14.313,10,42,862419.84,870902.78,857883.46,923412.5280166678,2010-10-22
40,0,54.12,4.056,138.6534,4.156,9,38,901709.82,980635.34,899768.4,924150.0505000001,2012-09-21
34,0,32.31,3.149,129.8980645,10.148,12,50,1084243.91,1091533.5625,1151052.86,1211390.951,2011-12-16
6,0,62.86,3.065,215.0679731,6.858,2,8,1572117.54,1465267.895,1422600.43,1503181.5580000002,2011-02-25
35,0,79.78,2.781,136.4554021,8.861,7,30,1121756.43,1190191.285,1139131.78,1130237.2312333337,2010-07-30
36,0,79.17,2.578,210.3664469,8.36,9,38,454694.21,433127.6925,419348.59,446019.02708333323,2010-09-24
39,1,79.94,2.565,210.2641156,8.36,9,36,1345167.61,1401491.43,1279666.47,1332941.1709000007,2010-09-10
33,0,95.88,3.1,126.1518,9.495,7,27,267495.76,277528.885,302423.93,264915.709825,2010-07-09
28,0,81.77,2.939,126.1900333,14.18,9,38,1159812.35,1280217.7874999999,1111797.21,1249685.4663999998,2010-09-24
8,0,62.59,2.72,215.1757,6.433,10,41,870349.86,821222.0700000001,826546.96,859161.0193666667,2010-10-15
44,0,77.0,3.58,129.3259355,6.56,9,35,324174.79,300891.14749999996,309543.52,301512.3103333333,2011-09-02
1,0,51.41,2.771,211.8896737,7.838,11,46,1494479.49,1443950.4975,1483784.18,1503114.036433333,2010-11-19
1,1,76.0,3.546,215.861056,7.962,9,36,1550229.22,1517707.8,1540471.24,1510723.4856999996,2011-09-09
2,0,82.05,2.582,211.1806415,8.099,9,37,1839128.83,1892978.1600000001,1793903.6,1823714.5398666672,2010-09-17
38,0,50.11,2.925,126.6042857,13.975,3,10,372239.89,343978.86,342023.92,342237.9802833331,2010-03-12
3,0,84.94,3.594,218.45094,7.574,6,25,403423.34,389730.1325,385520.71,385736.49431666685,2011-06-24
10,0,50.53,3.489,129.8980645,7.874,12,50,2429310.9,2329173.6425,2555031.18,2687628.7305666637,2011-12-16
29,0,69.53,3.924,134.9425484,9.966,6,23,598251.57,547867.685,558431.44,558281.032883333,2011-06-10
35,0,53.91,2.902,135.8721667,9.051,4,16,1084487.55,1137739.8575,1110827.48,1114379.3944000006,2010-04-23
43,0,62.19,2.719,202.83803,9.593,4,13,623097.93,648795.8525,650102.8,658319.1292166666,2010-04-02
20,0,78.27,3.523,214.728027,7.28,7,28,2358055.3,2159939.2225,2134680.12,2048056.2354000001,2012-07-13
37,0,78.35,3.467,215.1233185,8.177,9,38,513341.94,519482.68,516556.94,509409.8177333332,2011-09-23
34,0,42.26,2.704,126.6042857,9.521,3,10,918295.79,950656.495,921247.88,904866.2363666666,2010-03-12
44,0,81.69,3.509,130.7561613,5.407,8,32,342385.38,334134.8225,333594.81,334361.8856916665,2012-08-10
38,0,90.84,2.949,126.1119032,14.099,6,23,376184.88,347331.4225,354828.65,347448.10935000004,2010-06-11
22,0,69.31,2.717,136.6297571,8.572,10,39,902779.25,954943.875,905987.17,927143.3447833336,2010-10-01
26,0,52.68,4.056,138.6534,7.405,9,38,986131.94,1036051.4199999999,961084.08,1017790.004816667,2012-09-21
11,0,64.21,3.734,224.7166953,6.833,3,11,1413382.76,1450211.7925,1441884.28,1434332.5210333336,2012-03-16
15,0,51.24,3.775,136.472,7.866,10,40,521297.31,554878.505,579068.88,535590.5509166665,2011-10-07
39,0,67.91,3.787,219.9705599,7.244,3,12,1522421.07,1464574.37,1469593.37,1501288.0651666662,2012-03-23
37,0,66.74,2.808,209.2691428,8.464,4,15,513327.55,507328.98999999993,524544.83,509439.7490333332,2010-04-16
21,0,83.51,2.668,211.1120018,8.2,6,23,806012.48,759537.085,784305.55,791327.4740166671,2010-06-11
